130.6,167.1,1.0,1.0,0.0
166.7,163.1,1.0,1.0,0.0
124.1,171.0,1.0,1.0,0.0
137.2,147.5,1.0,0.912,7.0
154.2,163.2,1.0,1.0,0.0
115.6,150.3,1.0,1.0,0.0
123.3,171.3,1.0,1.0,0.0
164.3,166.8,1.0,1.0,11.6
130.3,166.1,1.0,1.0,0.0
173.9,162.8,-1.0,1.0,1.6
115.2,221.7,1.0,0.944,-19
161.6,146.2,1.0,1.0,20.2
153.2,180.6,-1.0,1.0,0.0
135.9,162.3,1.0,0.926,8.0
177.8,173.7,1.0,1.0,0.0
146.9,160.9,1.0,1.0,-5.6
162.2,141.4,1.0,1.0,10.0
134.3,145.7,1.0,1.0,-18.0
158.4,156.7,1.0,0.907,6.8
204.6,170.1,-1.0,1.0,0.0
132.4,165.9,1.0,1.0,0.0
159.9,169.8,1.0,1.0,10.7
178.9,152.5,-1.0,1.0,-12.2
171.7,159.9,1.0,1.0,6.4
143.2,171.2,1.0,1.0,0.7
144.1,183.9,1.0,1.0,-14.3
120.0,183.8,1.0,1.0,0.7
148.8,184.4,1.0,1.0,5.9
184.3,157.3,1.0,1.0,2.7
125.3,179.1,0.769,0.994,9.5